2018-07-24 20:51:54 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:54 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:54 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:55 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:55 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:55 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-07-24 20:51:55 install e2fsprogs:amd64 <none> 1.44.1-1
2018-07-24 20:51:55 status half-installed e2fsprogs:amd64 1.44.1-1
2018-07-24 20:51:55 status unpacked e2fsprogs:amd64 1.44.1-1
2018-07-24 20:51:55 status unpacked e2fsprogs:amd64 1.44.1-1
2018-07-24 20:51:55 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2018-07-24 20:51:55 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:55 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:55 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-07-24 20:51:55 install findutils:amd64 <none> 4.6.0+git+20170828-2
2018-07-24 20:51:55 status half-installed findutils:amd64 4.6.0+git+20170828-2
2018-07-24 20:51:55 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-07-24 20:51:55 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-07-24 20:51:55 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2018-07-24 20:51:55 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2018-07-24 20:51:55 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-07-24 20:51:55 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-07-24 20:51:55 install grep:amd64 <none> 3.1-2
2018-07-24 20:51:55 status half-installed grep:amd64 3.1-2
2018-07-24 20:51:55 status unpacked grep:amd64 3.1-2
2018-07-24 20:51:55 status unpacked grep:amd64 3.1-2
2018-07-24 20:51:55 install gzip:amd64 <none> 1.6-5ubuntu1
2018-07-24 20:51:55 status half-installed gzip:amd64 1.6-5ubuntu1
2018-07-24 20:51:55 status unpacked gzip:amd64 1.6-5ubuntu1
2018-07-24 20:51:55 status unpacked gzip:amd64 1.6-5ubuntu1
2018-07-24 20:51:55 install hostname:amd64 <none> 3.20
2018-07-24 20:51:55 status half-installed hostname:amd64 3.20
2018-07-24 20:51:55 status unpacked hostname:amd64 3.20
2018-07-24 20:51:55 status unpacked hostname:amd64 3.20
